exposure_us,filename,mean,std,contrast,roi_max,saturated,roi_top,roi_left,roi_size
10,frame_00_0000000010us.png,133.156267,81.953552,0.615469,832,0,1269,916,300
20,frame_01_0000000020us.png,135.709156,84.942878,0.625919,960,0,1269,916,300
30,frame_02_0000000030us.png,177.280711,93.674582,0.528397,960,0,1269,916,300
40,frame_03_0000000040us.png,179.817956,94.903416,0.527775,896,0,1269,916,300
50,frame_04_0000000050us.png,184.269511,96.698591,0.524767,1152,0,1269,916,300
60,frame_05_0000000060us.png,191.189333,100.236605,0.524279,1280,0,1269,916,300
70,frame_06_0000000070us.png,193.621333,101.775035,0.525640,1152,0,1269,916,300
80,frame_07_0000000080us.png,197.444978,103.208709,0.522721,1216,0,1269,916,300
90,frame_08_0000000090us.png,203.354311,106.198498,0.522234,1152,0,1269,916,300
100,frame_09_0000000100us.png,206.986667,107.816720,0.520887,1152,0,1269,916,300
200,frame_10_0000000200us.png,248.940089,128.356629,0.515613,1408,0,1269,916,300
300,frame_11_0000000300us.png,292.085333,149.593568,0.512157,1600,0,1269,916,300
400,frame_12_0000000400us.png,332.717511,169.445531,0.509277,1856,0,1269,916,300
500,frame_13_0000000500us.png,375.871289,190.711783,0.507386,1920,0,1269,916,300
600,frame_14_0000000600us.png,421.457067,213.799348,0.507286,2752,0,1269,916,300
700,frame_15_0000000700us.png,464.243200,235.225971,0.506687,2368,0,1269,916,300
800,frame_16_0000000800us.png,509.040356,257.445124,0.505746,2880,0,1269,916,300
900,frame_17_0000000900us.png,553.820444,279.116070,0.503983,3712,0,1269,916,300
1000,frame_18_0000001000us.png,598.449778,301.025500,0.503009,3136,0,1269,916,300
2000,frame_19_0000002000us.png,1036.470044,514.766889,0.496654,5440,0,1269,916,300
3000,frame_20_0000003000us.png,1480.362667,726.139015,0.490514,8448,0,1269,916,300
4000,frame_21_0000004000us.png,1917.447822,942.645866,0.491615,10240,0,1269,916,300
5000,frame_22_0000005000us.png,2358.968889,1158.492439,0.491101,14656,0,1269,916,300
6000,frame_23_0000006000us.png,2808.111644,1380.647115,0.491664,14656,0,1269,916,300
7000,frame_24_0000007000us.png,3253.165511,1593.819411,0.489929,22976,0,1269,916,300
8000,frame_25_0000008000us.png,3711.111822,1819.102599,0.490177,23168,0,1269,916,300
9000,frame_26_0000009000us.png,4154.904889,2016.446828,0.485317,24320,0,1269,916,300
10000,frame_27_0000010000us.png,4609.817600,2261.368889,0.490555,26112,0,1269,916,300
20000,frame_28_0000020000us.png,9142.797511,4452.347871,0.486979,49984,0,1269,916,300
30000,frame_29_0000030000us.png,13635.607467,6562.817293,0.481300,65408,1,1269,916,300
