exposure_us,filename,mean,std,contrast,roi_max,saturated,roi_top,roi_left,roi_size
10,frame_00_0000000010us.png,86.420622,38.152501,0.441474,384,0,1286,1288,300
20,frame_01_0000000020us.png,121.425067,50.661222,0.417222,448,0,1286,1288,300
30,frame_02_0000000030us.png,124.524089,51.547500,0.413956,448,0,1286,1288,300
40,frame_03_0000000040us.png,126.138311,51.751626,0.410277,448,0,1286,1288,300
50,frame_04_0000000050us.png,128.293689,52.475276,0.409025,512,0,1286,1288,300
60,frame_05_0000000060us.png,132.206222,53.736398,0.406459,512,0,1286,1288,300
70,frame_06_0000000070us.png,134.559289,54.217164,0.402924,512,0,1286,1288,300
80,frame_07_0000000080us.png,137.356800,54.829697,0.399177,576,0,1286,1288,300
90,frame_08_0000000090us.png,141.540978,55.810681,0.394308,640,0,1286,1288,300
100,frame_09_0000000100us.png,144.098133,56.424061,0.391567,512,0,1286,1288,300
200,frame_10_0000000200us.png,173.558756,62.680278,0.361147,576,0,1286,1288,300
300,frame_11_0000000300us.png,203.465956,68.148329,0.334937,640,0,1286,1288,300
400,frame_12_0000000400us.png,231.054222,73.124056,0.316480,704,0,1286,1288,300
500,frame_13_0000000500us.png,261.797689,78.626699,0.300334,960,0,1286,1288,300
600,frame_14_0000000600us.png,290.981689,82.858692,0.284756,832,0,1286,1288,300
700,frame_15_0000000700us.png,320.997689,87.534056,0.272694,960,0,1286,1288,300
800,frame_16_0000000800us.png,350.948267,91.962676,0.262041,1152,0,1286,1288,300
900,frame_17_0000000900us.png,381.094400,95.707167,0.251138,1088,0,1286,1288,300
1000,frame_18_0000001000us.png,409.998222,99.923501,0.243717,1216,0,1286,1288,300
2000,frame_19_0000002000us.png,709.346133,140.050367,0.197436,1792,0,1286,1288,300
3000,frame_20_0000003000us.png,1018.496000,173.014564,0.169873,2240,0,1286,1288,300
4000,frame_21_0000004000us.png,1326.332444,199.983177,0.150779,2560,0,1286,1288,300
5000,frame_22_0000005000us.png,1630.879289,222.273105,0.136290,3072,0,1286,1288,300
6000,frame_23_0000006000us.png,1938.796089,243.679267,0.125686,3392,0,1286,1288,300
7000,frame_24_0000007000us.png,2249.285689,264.920270,0.117780,3712,0,1286,1288,300
8000,frame_25_0000008000us.png,2561.562311,287.838245,0.112368,4480,0,1286,1288,300
9000,frame_26_0000009000us.png,2870.348800,307.231505,0.107036,5248,0,1286,1288,300
10000,frame_27_0000010000us.png,3175.292444,314.717320,0.099114,4992,0,1286,1288,300
20000,frame_28_0000020000us.png,6278.579200,469.710631,0.074812,8896,0,1286,1288,300
30000,frame_29_0000030000us.png,9411.924622,606.752500,0.064466,12288,0,1286,1288,300
40000,frame_30_0000040000us.png,12527.123911,745.747919,0.059531,15936,0,1286,1288,300
50000,frame_31_0000050000us.png,15816.019911,848.137374,0.053625,19904,0,1286,1288,300
60000,frame_32_0000060000us.png,18962.638222,978.443352,0.051598,24384,0,1286,1288,300
70000,frame_33_0000070000us.png,22063.451733,1089.353572,0.049374,26880,0,1286,1288,300
80000,frame_34_0000080000us.png,25232.732444,1186.461772,0.047021,30528,0,1286,1288,300
90000,frame_35_0000090000us.png,28293.045333,1296.523635,0.045825,34048,0,1286,1288,300
100000,frame_36_0000100000us.png,31453.472711,1395.467875,0.044366,37440,0,1286,1288,300
