exposure_us,filename,mean,std,contrast,roi_max,saturated,roi_top,roi_left,roi_size
10,frame_00_0000000010us.png,6262.968889,2034.828689,0.324898,24192,0,1268,1289,300
30,frame_01_0000000030us.png,6656.349156,2127.284270,0.319587,25920,0,1268,1289,300
60,frame_02_0000000060us.png,7176.078933,2251.720821,0.313782,29184,0,1268,1289,300
100,frame_03_0000000100us.png,7744.073956,2387.176492,0.308258,28736,0,1268,1289,300
300,frame_04_0000000300us.png,11037.469867,3092.464307,0.280179,35136,0,1268,1289,300
600,frame_05_0000000600us.png,15874.055822,3992.983007,0.251541,51712,0,1268,1289,300
1000,frame_06_0000001000us.png,22448.807822,4947.752376,0.220402,63296,0,1268,1289,300
3000,frame_07_0000003000us.png,54168.038400,7100.422503,0.131081,65408,1,1268,1289,300
6000,frame_08_0000006000us.png,65408.000000,0.000000,0.000000,65408,1,1268,1289,300
10000,frame_09_0000010000us.png,65408.000000,0.000000,0.000000,65408,1,1268,1289,300
