exposure_us,contrast,contrast_std,mean,source
10,0.503489,0.004475,1842.430791,bright
20,0.504382,0.000343,1887.958258,bright
30,0.503767,0.000508,1904.080498,bright
40,0.503652,0.000513,1973.159111,bright
50,0.503929,0.000468,2073.524409,bright
60,0.503350,0.000601,2129.121493,bright
70,0.502860,0.000232,2138.250738,bright
80,0.501813,0.000466,2150.650880,bright
90,0.500834,0.000351,2201.271111,bright
100,0.501007,0.000515,2273.105422,bright
200,0.499856,0.000600,2853.629369,bright
300,0.498776,0.000641,3325.535218,bright
400,0.497870,0.000953,3752.227840,bright
500,0.496791,0.000263,4200.521529,bright
600,0.495498,0.000489,4636.961351,bright
700,0.495726,0.000795,5228.699947,bright
800,0.496336,0.000461,5885.519218,bright
900,0.494542,0.000668,6340.703147,bright
1000,0.493922,0.000324,6748.919680,bright
2000,0.531322,0.001132,845.749049,dim
3000,0.515602,0.000362,1212.157298,dim
4000,0.507160,0.000661,1586.496284,dim
5000,0.502381,0.000654,1979.688036,dim
6000,0.500325,0.000515,2366.064782,dim
7000,0.499003,0.000171,2795.755236,dim
8000,0.499010,0.000428,3261.337671,dim
9000,0.498241,0.000604,3667.142542,dim
10000,0.497006,0.000787,4034.612196,dim
20000,0.493110,0.000985,8043.891698,dim
