exposure_us,filename,mean,std,contrast,roi_max,saturated,roi_top,roi_left,roi_size
10,frame_00_0000000010us.png,1512.418133,514.776600,0.340367,6016,0,1280,1321,300
20,frame_01_0000000020us.png,1572.783644,525.964462,0.334416,5888,0,1280,1321,300
30,frame_02_0000000030us.png,1604.944356,535.371374,0.333576,6208,0,1280,1321,300
40,frame_03_0000000040us.png,1641.546667,541.952809,0.330148,6080,0,1280,1321,300
50,frame_04_0000000050us.png,1669.862400,545.639145,0.326757,5760,0,1280,1321,300
60,frame_05_0000000060us.png,1734.426311,566.909866,0.326857,7168,0,1280,1321,300
70,frame_06_0000000070us.png,1766.185956,572.930853,0.324389,6208,0,1280,1321,300
80,frame_07_0000000080us.png,1797.693867,579.003749,0.322081,6720,0,1280,1321,300
90,frame_08_0000000090us.png,1859.860622,593.926341,0.319339,6976,0,1280,1321,300
100,frame_09_0000000100us.png,1888.866844,601.613295,0.318505,7936,0,1280,1321,300
200,frame_10_0000000200us.png,2298.062222,694.585464,0.302248,8000,0,1280,1321,300
300,frame_11_0000000300us.png,2707.542044,771.814876,0.285061,8640,0,1280,1321,300
400,frame_12_0000000400us.png,3090.996622,855.608027,0.276807,9344,0,1280,1321,300
500,frame_13_0000000500us.png,3494.891378,927.108930,0.265275,10432,0,1280,1321,300
600,frame_14_0000000600us.png,3916.989867,999.684676,0.255218,13440,0,1280,1321,300
700,frame_15_0000000700us.png,4320.469333,1072.345399,0.248201,12608,0,1280,1321,300
800,frame_16_0000000800us.png,4742.738489,1147.464143,0.241941,13952,0,1280,1321,300
900,frame_17_0000000900us.png,5156.342044,1210.840305,0.234825,13952,0,1280,1321,300
1000,frame_18_0000001000us.png,5568.263822,1276.460020,0.229238,17984,0,1280,1321,300
2000,frame_19_0000002000us.png,9667.183644,1784.293707,0.184572,23296,0,1280,1321,300
3000,frame_20_0000003000us.png,13854.852978,2211.265574,0.159602,30144,0,1280,1321,300
4000,frame_21_0000004000us.png,18005.656889,2601.552018,0.144485,39744,0,1280,1321,300
5000,frame_22_0000005000us.png,22174.742044,2865.216308,0.129211,39808,0,1280,1321,300
6000,frame_23_0000006000us.png,26274.152533,3153.345894,0.120017,45120,0,1280,1321,300
7000,frame_24_0000007000us.png,30394.057956,3449.900344,0.113506,59264,0,1280,1321,300
8000,frame_25_0000008000us.png,34552.334222,3659.824161,0.105921,58496,0,1280,1321,300
9000,frame_26_0000009000us.png,38622.589867,3870.869840,0.100223,59776,0,1280,1321,300
10000,frame_27_0000010000us.png,42733.043200,4088.670352,0.095679,65408,1,1280,1321,300
20000,frame_28_0000020000us.png,65407.716267,23.380429,0.000357,65408,1,1280,1321,300
30000,frame_29_0000030000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
40000,frame_30_0000040000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
50000,frame_31_0000050000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
60000,frame_32_0000060000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
70000,frame_33_0000070000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
80000,frame_34_0000080000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
90000,frame_35_0000090000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
100000,frame_36_0000100000us.png,65408.000000,0.000000,0.000000,65408,1,1280,1321,300
