exposure_us,filename,mean,std,contrast,roi_max,saturated,roi_top,roi_left,roi_size
10,frame_00_0000000010us.png,1500.365511,494.369046,0.329499,6336,0,1275,1323,300
20,frame_01_0000000020us.png,1527.911111,508.865039,0.333046,5376,0,1275,1323,300
30,frame_02_0000000030us.png,1560.782933,518.274071,0.332060,6784,0,1275,1323,300
40,frame_03_0000000040us.png,1593.487644,527.654723,0.331132,6144,0,1275,1323,300
50,frame_04_0000000050us.png,1618.171022,527.592093,0.326042,7232,0,1275,1323,300
60,frame_05_0000000060us.png,1676.505600,520.684905,0.310577,5952,0,1275,1323,300
70,frame_06_0000000070us.png,1707.052089,538.465930,0.315436,5824,0,1275,1323,300
80,frame_07_0000000080us.png,1726.320356,474.480096,0.274851,5824,0,1275,1323,300
90,frame_08_0000000090us.png,1794.660978,557.814918,0.310819,6464,0,1275,1323,300
100,frame_09_0000000100us.png,1822.210133,566.570505,0.310925,7616,0,1275,1323,300
200,frame_10_0000000200us.png,2228.160711,657.581344,0.295123,8192,0,1275,1323,300
300,frame_11_0000000300us.png,2618.413511,743.802209,0.284066,9984,0,1275,1323,300
400,frame_12_0000000400us.png,2983.759644,792.943585,0.265753,9280,0,1275,1323,300
500,frame_13_0000000500us.png,3372.061867,874.675284,0.259389,10496,0,1275,1323,300
600,frame_14_0000000600us.png,3786.421333,966.020462,0.255128,11520,0,1275,1323,300
700,frame_15_0000000700us.png,4182.555022,1028.751639,0.245962,16384,0,1275,1323,300
800,frame_16_0000000800us.png,4583.817244,1072.997347,0.234084,15936,0,1275,1323,300
900,frame_17_0000000900us.png,4990.407822,1155.697755,0.231584,14848,0,1275,1323,300
1000,frame_18_0000001000us.png,5357.316267,1217.886980,0.227332,16192,0,1275,1323,300
2000,frame_19_0000002000us.png,9335.726933,1626.386765,0.174211,21248,0,1275,1323,300
3000,frame_20_0000003000us.png,13347.797333,1870.043266,0.140101,25024,0,1275,1323,300
4000,frame_21_0000004000us.png,17373.853156,1959.442485,0.112781,27328,0,1275,1323,300
5000,frame_22_0000005000us.png,21433.624178,2770.611085,0.129265,39552,0,1275,1323,300
6000,frame_23_0000006000us.png,25381.853156,2597.428041,0.102334,38720,0,1275,1323,300
7000,frame_24_0000007000us.png,29419.458844,3055.953624,0.103875,45760,0,1275,1323,300
8000,frame_25_0000008000us.png,33555.144533,3419.334676,0.101902,54016,0,1275,1323,300
9000,frame_26_0000009000us.png,37433.997511,3506.563792,0.093673,58240,0,1275,1323,300
10000,frame_27_0000010000us.png,41485.813333,3609.293014,0.087001,58816,0,1275,1323,300
