exposure_us,exposure_ms,n_frames,mean_contrast,std_contrast,sem_contrast,mean_level,max_level,sat_frac
8,0.008,10000,0.24317584846468085,0.0019801110442389473,1.9801110442389472e-05,265.184636328125,832,0.0
12,0.012,10000,0.23320475774127777,0.0017392375156369433,1.7392375156369432e-05,309.53786953125,896,0.0
16,0.016,10000,0.22157048876217694,0.0018275016698008554,1.8275016698008553e-05,356.852186328125,1088,0.0
20,0.02,9444,0.21054207762726257,0.0019463022242783541,2.002775591026702e-05,402.99406410485494,1152,0.0
23,0.023,7083,0.2000678633588998,0.0016927626524025244,2.0113490637599568e-05,453.4074936247,1344,0.0
31,0.031,5312,0.19019147262702404,0.001571043360926295,2.1555551490473845e-05,545.2719785391566,1472,0.0
43,0.043,4048,0.17933851664139894,0.0014961907788597643,2.3516177084513645e-05,684.8101174576951,1856,0.0
55,0.055,3091,0.17143662855829522,0.0014616397391323797,2.6290015344799996e-05,824.1607691685539,2176,0.0
70,0.07,2361,0.16422121567804618,0.0014145731876478215,2.9112361036244844e-05,1009.9292440967811,2624,0.0
94,0.094,1789,0.1558421264118475,0.001349216967553229,3.189896733631467e-05,1289.3785918285355,3136,0.0
125,0.125,1371,0.14804904387404066,0.0012496181577684778,3.37488205507468e-05,1662.8222357084246,4352,0.0
164,0.164,1037,0.14061330594997976,0.0012243163900291314,3.801931477478303e-05,2130.9381102338475,5248,0.0
215,0.215,791,0.13348364492594317,0.001199945333002257,4.26651443374139e-05,2739.600357537927,6528,0.0
286,0.286,599,0.12695825436394692,0.0011271630433078556,4.605463341615991e-05,3560.9752256364773,8448,0.0
372,0.372,456,0.11945025403494626,0.0011274019798409448,5.279543491340699e-05,4603.610651384321,9472,0.0
489,0.489,346,0.11230962341428802,0.0009628208746275534,5.1761570894254594e-05,5998.7016460440755,12352,0.0
646,0.646,263,0.10417992751131454,0.0008950680107653316,5.5192257953497e-05,7894.350507961027,15744,0.0
850,0.85,200,0.09617259060019047,0.0007872284247865889,5.5665455750940096e-05,10365.56240234375,20608,0.0
