n_frames,effective_exposure_ms,integrated_ms,mean_contrast,std_contrast,n_windows
1,1.006152,0.857,0.09622958138420809,0.0009683204285463873,12000
2,2.012304,1.714,0.07429797962030364,0.0007495620039091609,6000
3,3.0184559999999996,2.571,0.06298938075181047,0.0006270153393632867,4000
4,4.024608,3.428,0.05571661731889916,0.0005399137398531692,3000
5,5.030759999999999,4.285,0.05052078992361608,0.00048249209255395793,2400
6,6.036911999999999,5.142,0.04658240746852265,0.0004345446155002983,2000
7,7.043063999999999,5.999,0.043452553991219965,0.00040578285718230174,1714
8,8.049216,6.856,0.04089620338365764,0.0003874871868435012,1500
9,9.055367999999998,7.713,0.0387455076507538,0.0003562988840863161,1333
10,10.061519999999998,8.57,0.03692046886808278,0.0003431289519742811,1200
11,11.067671999999998,9.427,0.03533088242268263,0.00032753601170807983,1090
12,12.073823999999998,10.284,0.03394900307980065,0.0003086668696495601,1000
13,13.079975999999998,11.141,0.032722506528711476,0.0002999409198198517,923
14,14.086127999999999,11.998,0.03162370230462762,0.00028290246982174013,857
16,16.098432,13.712,0.029736020658584512,0.0002735643101099111,750
17,17.104584,14.569,0.028918639475696714,0.00026838156361219705,705
19,19.116888,16.283,0.027473381304191438,0.00025285580521158503,631
21,21.129192,17.997,0.026240549198552315,0.00023849683172360426,571
23,23.141496,19.711,0.02517310338248877,0.00023860196446559069,521
25,25.1538,21.425,0.024236243205651136,0.00021640202471652,480
27,27.166104,23.139,0.02340614466429477,0.00021294182634852392,444
30,30.184559999999998,25.71,0.022320249346897914,0.0001988377180044993,400
32,32.196864,27.424,0.021686636800702822,0.0001899497989324702,375
35,35.21532,29.995,0.020829646491796545,0.00018055412364022345,342
39,39.239928,33.423,0.019859592101684746,0.0001797485436414832,307
42,42.258384,35.994,0.01921972022124552,0.0001775136851183856,285
46,46.282992,39.422,0.018472158238664396,0.00016348721468500426,260
50,50.3076,42.85,0.017816439687829963,0.0001473708911845297,240
55,55.338359999999994,47.135,0.01710975530801918,0.0001502833413429474,218
60,60.369119999999995,51.42,0.016494427119257873,0.00014652772085128155,200
66,66.406032,56.562,0.01584212065642146,0.00014277372163729033,181
72,72.44294399999998,61.704,0.01529359830859448,0.00013426180242549307,166
78,78.479856,66.846,0.014802947327031033,0.0001312754662092299,153
86,86.529072,73.702,0.014239175581871112,0.00012775048166292758,139
93,93.572136,79.701,0.013808162798946306,0.00011752450011145124,129
102,102.62750399999999,87.414,0.013322090259727975,0.0001132788413118056,117
111,111.68287199999999,95.127,0.012912514574350407,0.00011054945565290335,108
122,122.75054399999999,104.554,0.01246136008892403,0.00011097006026993478,98
133,133.81821599999998,113.981,0.012084272637606856,9.778259137408232e-05,90
145,145.89203999999998,124.265,0.011718137853849425,9.877300701982131e-05,82
158,158.972016,135.406,0.011380803934356552,8.734821096043634e-05,75
173,174.064296,148.261,0.011039489294935865,8.577138109824244e-05,69
188,189.156576,161.116,0.01074964828425348,7.812458527096475e-05,63
206,207.26731199999998,176.542,0.010442648645634675,8.517575494332119e-05,58
224,225.37804799999998,191.968,0.010185247481595338,8.208522502033267e-05,53
245,246.50724,209.965,0.009917481514656651,7.856710457701034e-05,48
267,268.642584,228.819,0.009675039692787692,7.593336728004678e-05,44
292,293.796384,250.244,0.009444119761203067,6.15883805027125e-05,41
318,319.95633599999996,272.526,0.009241934217796592,5.8096403528718335e-05,37
348,350.14089599999994,298.236,0.009035831477007697,6.602650755466395e-05,34
379,381.33160799999996,324.803,0.008849984186970118,6.428147791761701e-05,31
414,416.546928,354.798,0.008668056601080412,5.1890092183314245e-05,28
452,454.78070399999996,387.364,0.008505192754056902,4.9369791779646975e-05,26
493,496.032936,422.501,0.008358990055434772,4.9491138362150165e-05,24
538,541.3097759999999,461.066,0.008214356925600434,4.511625451718281e-05,22
587,590.6112239999999,503.059,0.008078124097656708,4.115779596997944e-05,20
641,644.9434319999999,549.337,0.007953686996385063,4.0461373361438904e-05,18
700,704.3063999999999,599.9,0.007833664655481232,3.8619240753583686e-05,17
764,768.700128,654.748,0.007728059406256452,3.543337081022128e-05,15
833,838.124616,713.881,0.007634213860611559,3.50913111994533e-05,14
909,914.5921679999999,779.013,0.007540256166793081,3.4769266812484065e-05,13
993,999.108936,851.001,0.007458802260630288,2.6689070766556536e-05,12
