t_s,frame_id,camera_timestamp_ns,contrast_roi1,contrast_roi2,mean_roi1,mean_roi2,ratio_roi1_roi2,raw_index
0.000000,0,4763082904960,0.339351,0.230978,20083.66,8609.95,1.469189,0
0.016589,1,4763099672200,0.339176,0.228592,20071.80,8587.13,1.483759,
0.033374,2,4763116440088,0.339207,0.226546,20074.92,8606.25,1.497297,
0.050191,3,4763133208144,0.339047,0.228264,20069.25,8582.72,1.485329,
0.066956,4,4763149976112,0.339374,0.230767,20078.85,8563.02,1.470637,
0.083674,5,4763166743144,0.339285,0.227576,20074.40,8544.61,1.490864,
0.100399,6,4763183511016,0.339064,0.225770,20070.50,8551.92,1.501811,
0.117220,7,4763200278272,0.339330,0.227154,20068.06,8571.58,1.493829,
0.134040,8,4763217045816,0.339359,0.226274,20078.16,8627.19,1.499771,
0.150846,9,4763233814088,0.339143,0.224756,20080.71,8586.63,1.508940,
0.167544,10,4763250582072,0.339490,0.225203,20078.32,8566.76,1.507485,
0.184242,11,4763267349736,0.339168,0.222112,20074.59,8529.04,1.527016,
0.200980,12,4763284117072,0.338859,0.226542,20080.91,8552.79,1.495787,
0.217774,13,4763300884568,0.339037,0.221699,20067.88,8530.43,1.529265,
0.234545,14,4763317652072,0.338561,0.220165,20069.43,8535.55,1.537759,
0.251377,15,4763334420240,0.339399,0.228196,20065.59,8525.18,1.487313,
0.268128,16,4763351187976,0.339442,0.226687,20071.29,8535.95,1.497402,
0.284893,17,4763367954760,0.339266,0.227917,20064.19,8550.99,1.488552,
0.301658,18,4763384723016,0.339310,0.225925,20072.33,8493.68,1.501867,
0.318434,19,4763401491032,0.339097,0.225022,20068.72,8521.72,1.506949,
0.335217,20,4763418257976,0.338725,0.224527,20073.95,8497.72,1.508614,1
0.351954,21,4763435025832,0.339022,0.224041,20067.24,8528.87,1.513216,
0.368725,22,4763451793832,0.338887,0.223973,20074.28,8513.79,1.513071,
0.385442,23,4763468560720,0.338937,0.222354,20070.78,8544.82,1.524311,
0.402265,24,4763485328496,0.338673,0.222981,20074.38,8590.75,1.518842,
0.419004,25,4763502096240,0.338659,0.220444,20078.59,8550.27,1.536260,
0.435796,26,4763518864440,0.338968,0.226301,20079.64,8573.91,1.497865,
0.452540,27,4763535631408,0.339028,0.223613,20072.74,8520.93,1.516139,
0.469278,28,4763552399088,0.339058,0.222847,20070.98,8586.85,1.521483,
0.486170,29,4763569167256,0.339482,0.225018,20070.15,8562.32,1.508693,
0.502799,30,4763585934592,0.338934,0.225726,20076.86,8520.72,1.501531,
0.519577,31,4763602702240,0.338318,0.224801,20082.16,8521.06,1.504967,
0.536371,32,4763619470032,0.339024,0.228619,20078.27,8514.21,1.482919,
0.553129,33,4763636238056,0.339199,0.226413,20077.43,8500.12,1.498145,
0.569960,34,4763653005592,0.339081,0.230494,20071.76,8548.11,1.471106,
0.586696,35,4763669772960,0.339365,0.232045,20071.27,8572.08,1.462499,
0.603475,36,4763686541000,0.338935,0.230300,20074.12,8515.02,1.471711,
0.620290,37,4763703308200,0.338409,0.230209,20069.45,8546.00,1.470012,
0.637073,38,4763720076440,0.339037,0.231593,20066.92,8584.06,1.463933,
0.653793,39,4763736843552,0.338843,0.231053,20070.84,8569.15,1.466518,
0.670501,40,4763753611920,0.339431,0.231954,20072.60,8583.99,1.463358,2
0.687355,41,4763770379200,0.339193,0.233425,20064.20,8546.18,1.453115,
0.704078,42,4763787146496,0.338713,0.233312,20063.44,8563.68,1.451761,
0.720868,43,4763803914216,0.338922,0.230155,20078.36,8560.49,1.472583,
0.737663,44,4763820681832,0.338912,0.230481,20072.83,8543.17,1.470458,
0.754366,45,4763837449240,0.339092,0.227002,20074.09,8584.51,1.493783,
0.771196,46,4763854217000,0.338880,0.224560,20074.11,8569.86,1.509084,
0.788009,47,4763870984592,0.338934,0.228974,20068.60,8546.27,1.480229,
0.804668,48,4763887752384,0.339447,0.231406,20078.48,8588.54,1.466890,
0.821436,49,4763904520200,0.339190,0.226971,20072.51,8586.43,1.494420,
0.838251,50,4763921288512,0.338880,0.226996,20077.05,8560.24,1.492892,
0.855019,51,4763938055704,0.339359,0.227605,20082.67,8565.63,1.491001,
0.871757,52,4763954823112,0.339515,0.227544,20077.98,8518.95,1.492085,
0.888497,53,4763971590704,0.338608,0.225440,20082.93,8557.04,1.501984,
0.905261,54,4763988358352,0.339167,0.224605,20073.15,8550.41,1.510060,
0.922050,55,4764005126680,0.339138,0.224121,20066.75,8512.80,1.513190,
0.938819,56,4764021894352,0.339156,0.227623,20074.75,8544.49,1.489990,
0.955597,57,4764038661200,0.339013,0.227074,20070.36,8570.05,1.492962,
0.972365,58,4764055429552,0.339294,0.224280,20075.00,8555.47,1.512814,
0.989127,59,4764072197200,0.339399,0.227438,20076.35,8588.40,1.492270,
1.005879,60,4764088965016,0.339329,0.228675,20072.50,8552.27,1.483891,3
1.022633,61,4764105732256,0.339652,0.225491,20082.50,8544.51,1.506277,
1.039421,62,4764122499592,0.339592,0.227554,20081.12,8530.14,1.492356,
1.056195,63,4764139267496,0.339647,0.229388,20075.33,8572.61,1.480668,
1.072914,64,4764156035592,0.339336,0.225534,20069.25,8559.19,1.504587,
1.089738,65,4764172802720,0.339450,0.229034,20074.89,8507.54,1.482097,
1.106457,66,4764189571016,0.339184,0.227567,20080.08,8533.00,1.490481,
