exposure_us,exposure_ms,n_frames,mean_contrast,std_contrast,sem_contrast,mean_level,max_level,sat_frac
8,0.008,10000,0.1676622328158835,0.004304085783892853,4.304085783892853e-05,757.517744140625,1984,0.0
12,0.012,10000,0.15931764271456178,0.0030154392369163866,3.0154392369163866e-05,915.6267921875,2304,0.0
16,0.016,10000,0.15287565503647935,0.0018981979362127648,1.8981979362127647e-05,1068.572595703125,2688,0.0
20,0.02,9444,0.15139481601068258,0.0018394086958493988,1.8927804695570093e-05,1220.1066570871717,3072,0.0
23,0.023,7083,0.14754394519603387,0.004188209147531626,4.9764510906254796e-05,1388.1473587727658,3840,0.0
31,0.031,5312,0.14143439650551756,0.0032461039548029565,4.4538274806069217e-05,1707.4859376470727,4096,0.0
43,0.043,4048,0.1391210129065431,0.0019946050350738427,3.1349936038374294e-05,2134.5695318289895,5056,0.0
55,0.055,3091,0.13843754166824773,0.0013767212873222986,2.4762616122287823e-05,2557.3353271089454,5632,0.0
70,0.07,2361,0.1363179857959007,0.0019523377177240457,4.017972417360079e-05,3158.177313307391,7360,0.0
94,0.094,1789,0.13268908722496336,0.002018808890548868,4.772984657513166e-05,4094.2836780324205,9152,0.0
125,0.125,1371,0.13331589817969597,0.0014815313860619306,4.0012172180493376e-05,5211.7023927561995,11584,0.0
164,0.164,1037,0.13502759188779,0.0014556477292830738,4.520296360607776e-05,6535.698152724204,14528,0.0
215,0.215,791,0.13244764500902673,0.0015914177474966307,5.6584300993267114e-05,8500.43510982933,17984,0.0
286,0.286,599,0.13236359636444442,0.0007391469724440852,3.0200726557426113e-05,11281.72943186561,24192,0.0
372,0.372,456,0.12960199194465422,0.0007943651578934723,3.719955680489391e-05,14916.72426672149,30400,0.0
489,0.489,346,0.12806902829880207,0.0012867638993339203,6.917685579397609e-05,19469.871150198698,41472,0.0
646,0.646,263,0.12590250798360464,0.0009335811115247546,5.756707748244605e-05,25811.328006178708,51648,0.0
850,0.85,200,0.12890825714442777,0.0020457468253211935,0.00014465614527754675,32308.2880078125,65408,0.0001220703125
