n_frames,effective_exposure_ms,integrated_ms,mean_contrast,std_contrast,n_windows
1,1.006152,0.857,0.2624632177388671,0.001735314930832552,12000
2,2.012304,1.714,0.2620406623589063,0.0016853424253464274,6000
3,3.0184559999999996,2.571,0.26179888301502796,0.0016966524437633569,4000
4,4.024608,3.428,0.2615914142642128,0.001742468420949703,3000
5,5.030759999999999,4.285,0.2613924203625235,0.001828274430842366,2400
6,6.036911999999999,5.142,0.26119328845219997,0.001952618808292941,2000
7,7.043063999999999,5.999,0.2610069512753883,0.002074728186808735,1714
8,8.049216,6.856,0.26081260399085415,0.0022772539806206363,1500
9,9.055367999999998,7.713,0.26063285651925805,0.002428085519140648,1333
10,10.061519999999998,8.57,0.26043920631399736,0.00271587073375752,1200
11,11.067671999999998,9.427,0.26027125549006297,0.0029133911186525084,1090
12,12.073823999999998,10.284,0.2600858387239631,0.0032217198466075966,1000
13,13.079975999999998,11.141,0.2599156784746001,0.0033460787915420118,923
14,14.086127999999999,11.998,0.25981442977992625,0.0032694473829993674,857
16,16.098432,13.712,0.2595341646119653,0.0037828958730622493,750
17,17.104584,14.569,0.2591789387562871,0.0044929599208159395,705
19,19.116888,16.283,0.259139048185758,0.0041068871019222354,631
21,21.129192,17.997,0.2588067943286062,0.0047388201984962545,571
23,23.141496,19.711,0.25860526141514945,0.004918238927458749,521
25,25.1538,21.425,0.25839871156091315,0.005415194086382134,480
27,27.166104,23.139,0.258279214024496,0.005374666664032832,444
30,30.184559999999998,25.71,0.25808694932523574,0.005862188606520588,400
32,32.196864,27.424,0.2580469795483987,0.00588715942310752,375
35,35.21532,29.995,0.2581266975669019,0.005301661500393942,342
39,39.239928,33.423,0.2581452968692729,0.005231002345786222,307
42,42.258384,35.994,0.258154720918446,0.0051683463164961365,285
46,46.282992,39.422,0.25821298771402434,0.005001604720189892,260
50,50.3076,42.85,0.258042096976332,0.005623525256084534,240
55,55.338359999999994,47.135,0.25801253820146236,0.005446639340035387,218
60,60.369119999999995,51.42,0.2579168635656098,0.005703376192172232,200
66,66.406032,56.562,0.25807048889961953,0.004929674732552004,181
72,72.44294399999998,61.704,0.2580163878209649,0.004921026135590649,166
78,78.479856,66.846,0.2580598702478455,0.004645435496375762,153
86,86.529072,73.702,0.2579942469652429,0.004627100243231333,139
93,93.572136,79.701,0.2577654580744904,0.005400912990183231,129
102,102.62750399999999,87.414,0.2579966152574892,0.0047703801152641,117
111,111.68287199999999,95.127,0.2577663351023788,0.004847159199110598,108
122,122.75054399999999,104.554,0.25784251424182586,0.004263991780574214,98
133,133.81821599999998,113.981,0.2578263079609012,0.004725128091710169,90
145,145.89203999999998,124.265,0.2578941769013368,0.004030843411978332,82
158,158.972016,135.406,0.2578622682817468,0.004408798444518076,75
173,174.064296,148.261,0.2578117656599243,0.0041532625994945786,69
188,189.156576,161.116,0.2578329071533231,0.0041945913662813925,63
206,207.26731199999998,176.542,0.2577768950708752,0.004230806225841336,58
224,225.37804799999998,191.968,0.2577597565755291,0.004063486145808579,53
245,246.50724,209.965,0.25772542087153677,0.003841651292173097,48
267,268.642584,228.819,0.2576792908897772,0.004046410558687314,44
292,293.796384,250.244,0.2575354705490087,0.0039053710834175428,41
318,319.95633599999996,272.526,0.25758631667104487,0.0038025534807010746,37
348,350.14089599999994,298.236,0.2575477028742538,0.0036563323501622234,34
379,381.33160799999996,324.803,0.2574740946098922,0.003741870285845943,31
414,416.546928,354.798,0.2574641616962681,0.003981986183290609,28
452,454.78070399999996,387.364,0.2574332368119996,0.0038319155675502962,26
493,496.032936,422.501,0.25739260860340213,0.0035982587763713244,24
538,541.3097759999999,461.066,0.25724643664267616,0.0034903916690260735,22
587,590.6112239999999,503.059,0.2571897305361944,0.0033806778334934317,20
641,644.9434319999999,549.337,0.2573098210481372,0.0031780159472276264,18
700,704.3063999999999,599.9,0.2572779951471515,0.0035992168745371763,17
764,768.700128,654.748,0.25668704730737535,0.004854328047459139,15
833,838.124616,713.881,0.25647101002501405,0.005038059364859903,14
909,914.5921679999999,779.013,0.2571644549638868,0.0027811253771100864,13
993,999.108936,851.001,0.25593299502960104,0.0062440502502250335,12
