exposure_us,exposure_ms,n_frames,mean_contrast,std_contrast,sem_contrast,mean_level,max_level,sat_frac
8,0.008,10000,0.32272610846781646,0.0022065198591675163,2.2065198591675165e-05,461.69439296875,1920,0.0
12,0.012,10000,0.3202886574790736,0.002253944142273876,2.253944142273876e-05,542.417037109375,2176,0.0
16,0.016,10000,0.31926893589439553,0.0021202249223074158,2.120224922307416e-05,621.28520390625,2624,0.0
20,0.02,9444,0.3172813233707487,0.0019789897412074665,2.0364115599015627e-05,700.185731350593,2752,0.0
23,0.023,7083,0.3159074367450765,0.00248942244997307,2.957944226232673e-05,777.9283837621771,3008,0.0
31,0.031,5312,0.3157368217049248,0.0014072651875639145,1.930842774027573e-05,937.9201652802617,3648,0.0
43,0.043,4048,0.31398573699544446,0.0012451405151776612,1.957032837238525e-05,1175.4706423310895,4544,0.0
55,0.055,3091,0.3127126215069959,0.0011590021085246141,2.0846575528833504e-05,1413.7768913276448,5376,0.0
70,0.07,2361,0.311255284806139,0.0011365026756781644,2.338958245632909e-05,1733.0934290290131,6336,0.0
94,0.094,1789,0.31013435132543266,0.0009513138891750303,2.249151278641889e-05,2212.2716208426496,8064,0.0
125,0.125,1371,0.30890804589511345,0.001249671819241789,3.375026980260186e-05,2851.0555992432533,11200,0.0
164,0.164,1037,0.30733086323861303,0.0017973761771094099,5.581482956753757e-05,3647.204537578351,14528,0.0
215,0.215,791,0.3083129891258498,0.000932492532849446,3.315561752137541e-05,4692.8919336678255,17792,0.0
286,0.286,599,0.30772919560249323,0.0012744774110586973,5.20737353056151e-05,6136.695253808431,23232,0.0
372,0.372,456,0.308148575970079,0.0008023080804461695,3.757151823316134e-05,7915.3113007127195,29440,0.0
489,0.489,346,0.3085490396955233,0.0004976439181542844,2.675350278378818e-05,10344.204412030347,35456,0.0
646,0.646,263,0.30813521625522655,0.0004481841773584863,2.7636220298270465e-05,13591.20452115019,46080,0.0
850,0.85,200,0.3071701881666684,0.0005955154059002443,4.210929818131221e-05,17809.32728515625,61504,0.0
